rank,category_name,name,moneydj_id,twelve_data_symbol,benchmark,return_1y,benchmark_return_1y,excess_return_1y,momentum_6m,sharpe,max_drawdown,recovery_days,score,signal,status
1,日本,瀚亞投資-日本動力股票基金Az(南非幣避險),F00000W0VS:FO,,EWJ,77.93,29.10,48.83,33.83,3.023,-38.77,209,2.017,買進,已更新（Yahoo台灣下載 + 活動績效表 Benchmark）
2,日本,安本基金-日本永續股票基金X累積美元避險,,,EWJ,52.10,29.10,23.00,15.03,1.050,,,1.111,買進,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
3,日本,駿利亨德森遠見基金-日本小型公司基金I2美元避險,,,EWJ,48.34,29.10,19.24,17.39,1.140,,,1.078,買進,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
4,日本,法巴日本股票基金H(美元),,,EWJ,50.13,29.10,21.03,12.37,1.050,,,1.045,買進,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
5,日本,法巴日本小型股票基金H(美元),,,EWJ,49.56,29.10,20.46,13.34,1.040,,,1.042,買進,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
6,日本,安聯日本股票基金-AT累積類股(美元避險),,,EWJ,47.25,29.10,18.15,14.75,1.020,,,1.005,買進,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
7,日本,景順日本股票優勢基金C(美元對沖)股美元,,,EWJ,42.53,29.10,13.43,15.44,1.080,,,0.930,買進,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
8,日本,施羅德環球基金系列-日本優勢(美元避險)A-累積,,,EWJ,44.46,29.10,15.36,11.48,0.940,,,0.901,買進,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
9,日本,利安資金日本增長基金A美元避險級別,,,EWJ,40.51,29.10,11.41,12.42,1.230,,,0.889,買進,已驗證（活動績效表 2026-08-07；回撤/恢復期資料不足）
10,日本,安盛投資管理股票基金-安盛投資管理日本股票基金B,,,EWJ,40.61,29.10,11.51,13.92,0.820,,,0.824,買進,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
